film_id,year,length,budget,votes,genre,rating
165,1997,60,10.4,52,Comedy,7.8
166,1959,85,7.2,22,Drama,5.6
167,1990,25,8.8,183,Short,7.9
168,2002,92,10.8,5,Drama,4.6
169,2003,85,7.1,69,Action,4.6
170,1960,69,9.9,5,Action,3.7
171,1963,89,10.2,34,Action,3
172,1960,85,15.3,578,Action,5.1
173,2004,98,13.7,7859,Comedy,5.4
174,2004,135,16,5,Documentary,7
175,2002,93,16.1,196,Comedy,8
176,1947,95,13.2,262,Action,2.5
177,1962,80,13.6,35,Drama,1.7
178,2003,122,12.4,23,Action,4.1
179,1982,110,14,11,Drama,2.9
180,1987,89,12.6,54,Action,6.6
181,1988,88,8.1,131,Action,2.6
182,2003,58,12.6,12,Action,3.3
183,1951,85,10.3,27,Action,3.2
184,1937,70,11.4,5,Action,2.8
185,2000,85,16.4,28,Action,7.9
186,1999,102,16.7,14344,Action,8.2
187,1952,7,13.1,66,Animation,8
188,2003,52,13.3,7,Drama,8.3
189,1985,83,11.3,12,Drama,3.1
190,1973,105,13.6,7,Action,5.1
191,1998,27,18.4,5,Short,8.1
192,1992,154,11.3,3379,Drama,3.9
193,1998,88,11.6,118,Comedy,5.1
194,2003,90,14,97,Comedy,7.6
195,1998,92,11.7,88,Drama,5.2
196,1999,25,13.9,19,Comedy,8.2
197,2001,120,14.3,10866,Drama,4
198,2000,,11.9,7,Short,7.7
199,2000,120,9.5,13,Drama,4
200,2003,74,8.7,27,Drama,3.5
201,1985,145,12.4,37,Documentary,7.8
202,2002,158,12.1,26,Action,7.6
203,1948,82,7.4,6,Action,4.4
204,1967,6,10.3,6,Short,7.4
205,1995,86,7,30,Drama,4.7
206,1998,1,9.1,7,Documentary,8.4
207,1998,107,9,13,Drama,3.8
208,1989,75,13.8,9,Action,4.5
209,2001,95,6.5,22,Drama,3.9
210,1972,180,10.9,1754,Drama,2.8
211,1974,150,8.8,18,Action,4.3
212,2004,23,12.7,18,Short,8.1
213,1988,93,11.8,643,Comedy,8.3
214,1999,87,12.4,43,Drama,4.3
215,1977,89,8.5,21,Action,2.2
216,1991,98,13.5,7,Drama,4.1
217,2004,100,10.2,26,Drama,4.5
218,1934,80,13,16,Drama,4.7
219,1990,100,14.7,11,Drama,5.6
220,1997,58,10.1,14,Drama,3.9
221,1995,30,14.1,21,Animation,8.6
222,2000,82,9.5,59,Drama,2.3
223,2002,77,5.4,51,Comedy,4.3
224,1971,73,13.2,5,Action,3.5
225,1976,245,16.3,2408,Drama,4.5
226,1985,94,6.3,65,Drama,4.8
227,1985,99,13.5,28,Drama,3.4
228,1997,8,10.5,13,Short,7.9
229,1925,32,19.3,26,Documentary,8
230,1989,193,11.6,62,Drama,2.3
231,1941,7,14.8,5,Short,8.1
232,1979,146,7.4,5536,Comedy,2.9
233,1993,157,10.2,210,Action,5
234,1989,80,13.8,16,Drama,5.4
235,1955,18,7.8,12,Documentary,8
236,1980,96,8.5,23,Action,3.5
237,1988,95,12.4,659,Drama,3.4
238,2000,8,10.4,12,Animation,4.9
239,1974,90,7.9,22,Documentary,4.3
240,1956,90,14.5,304,Drama,3.6
241,1982,89,12.7,181,Action,4.4
242,1992,99,20,166,Documentary,7.8
243,1998,80,10.9,11,Action,4.9
244,1998,92,15.5,93,Drama,4.7
245,1988,90,10.4,66,Drama,4.2
246,1999,86,11.5,52,Comedy,3.8
247,1905,1,12.4,13,Comedy,8.2
248,2002,76,12.1,30,Drama,5.2
249,1996,104,6.9,5057,Drama,2.2
250,1997,90,13.5,9,Drama,3.8
251,2003,107,10.3,9556,Action,3.9
252,2000,97,16,44,Action,8.6
253,1999,87,8.2,18,Comedy,4
254,1966,90,10.4,5,Action,5
255,1968,95,9,9,Comedy,2.7
256,2001,8,12.3,9,Short,8.2
257,1997,12,15.6,5,Documentary,8
258,1967,90,13.9,355,Drama,4.9
259,2003,96,9.7,86,Comedy,3.6
260,1998,100,9,166,Comedy,4.7
261,2004,28,14.5,16,Comedy,8.1
262,1965,89,14.2,29,Action,6.1
263,1944,97,11.2,50,Action,2.8
264,2000,25,8.6,8,Short,7.2
265,1998,87,7.3,841,Comedy,3.9
266,2004,74,10,52,Drama,3.9
267,1957,82,8.4,523,Action,4.4
268,1940,84,16.7,25,Action,8.1
269,1933,20,9,16,Comedy,7.3
270,1916,105,5.8,135,Action,4.9
271,1932,78,12.1,274,Drama,3.5
272,1997,93,15.1,14,Action,3.1
273,1955,97,15.4,18,Action,5
274,1999,20,12,5,Comedy,8.1
275,2003,84,13.5,62,Romance,3.3
276,1999,101,9.7,4514,Comedy,3.7
277,1971,98,10.4,338,Comedy,7.9
278,2000,70,5.7,25,Documentary,4.5
279,1969,80,14.1,12,Comedy,7.4
280,1954,127,13.6,2741,Drama,4.3
281,1999,99,11.4,241,Action,3.1
282,1968,156,4.9,64982,Action,4.5
283,2000,99,15.2,2023,Comedy,8.5
284,1994,90,14.2,24,Action,7.4
285,2002,136,11.8,639,Action,3.5
286,1964,96,10.4,6,Action,5.1
287,1984,116,8.9,7300,Action,3.3
288,1984,18,18.7,154,Documentary,8
289,1983,91,10.7,176,Action,6
290,1980,185,13.7,24,Drama,4
291,2004,129,12.3,2663,Drama,3.5
292,1969,75,13,8,Action,6.4
293,1984,10,11.3,10,Documentary,7.6
294,2004,113,18,177,Comedy,2.9
295,2003,101,11.1,75,Drama,3.1
296,2000,105,11.2,25,Comedy,4.7
297,2003,124,14.4,21857,Drama,3.4
298,1964,10,11.9,13,Short,7.8
299,1997,100,12.5,78,Action,2.9
300,1996,285,10.5,7,Documentary,3.4
301,1979,121,10,11,Drama,4.2
302,1998,100,12.6,1246,Drama,4.3
303,1930,10,14.3,15,Comedy,7.7
304,1956,103,9.1,179,Action,4
305,2000,12,12.2,7,Short,8.1
306,1993,84,11.3,8,Action,3.3
307,2002,188,14.1,25,Action,4.6
308,2002,91,11.8,75,Drama,3.7
309,1997,96,12.3,504,Comedy,3.4
310,2002,117,8.8,3603,Comedy,3.9
311,1999,93,4.6,149,Comedy,3.9
312,1931,66,14,11,Action,4.7
313,2000,90,12.8,242,Action,3.7
314,1999,97,8,81,Comedy,3.6
315,2000,86,8.9,39,Drama,5.5
316,2002,107,13.3,74,Drama,3.8
317,1977,114,14.3,9,Action,3.8
318,1969,95,10.1,7,Comedy,8.2
319,1999,8,7.7,22,Comedy,7.8
320,2001,11,9.6,9,Short,8.7
321,2000,6,12.5,16,Short,8.3
322,2004,92,11.9,502,Action,3.5
323,2002,90,10.5,8,Action,4.4
324,2001,92,8.2,275,Comedy,4.8
325,1989,5,13.1,114,Animation,7.1
326,2002,135,12.9,15788,Drama,3.7
327,1996,17,12.8,20,Short,8
328,1974,118,11,7,Action,5
329,2000,98,16.4,291,Comedy,3
330,1986,81,10,38,Action,2.6
331,1974,86,14.5,8,Drama,2.4
332,1957,75,8.6,84,Action,3.4
333,2000,103,14.3,7465,Drama,4.9
334,2002,113,8.4,24174,Action,2.9
335,1967,90,15.7,6,Action,4.9
336,1971,90,13.2,5,Drama,4.1
337,2002,93,14.2,406,Comedy,7.6
338,1991,101,14,436,Comedy,8.4
339,2004,88,15.1,17,Comedy,7.9
340,2002,70,16.1,381,Action,6.9
341,1998,90,12,44,Drama,4.4
342,2002,104,14.4,5,Action,4
343,1971,86,17.3,14,Drama,3.9
344,1976,72,8.2,15,Action,4.6
345,2001,88,7.5,243,Action,3.9
346,2003,22,9.2,11,Short,8.2
347,1926,122,8.6,64,Action,4.6
348,2000,88,6.1,120,Comedy,3.7
349,2002,98,11.8,20,Drama,3.6
350,1937,17,10.6,80,Comedy,8.3
351,2003,63,12.2,15,Documentary,8.2
352,1948,106,15.9,779,Drama,3.8
353,1990,100,6.9,51,Action,3.8
354,1990,104,17.2,3066,Comedy,8
355,2000,3,13.1,6,Short,7.4
356,1998,11,13.4,23,Animation,7.2
357,1992,98,16.2,1392,Action,7.8
358,1994,93,7.9,565,Action,8.1
359,1995,85,13.9,324,Action,7.6
360,1998,93,16.4,744,Action,7.7
361,1964,78,8.4,16,Comedy,4.7
362,1954,103,11.1,99,Comedy,8.5
363,1968,6,8.4,9,Animation,7.2
364,2000,82,11.8,305,Comedy,7.7
365,2000,21,11.8,6,Short,7.4
366,2002,51,13.7,5,Action,4.4
367,1977,124,7.7,912,Drama,4.3
368,1960,100,14.5,215,Animation,3.4
369,1973,81,10.1,36,Action,4.5
370,1985,106,10.5,537,Comedy,8.3
371,2001,105,10.9,9,Action,4.3
372,1990,96,14.3,761,Action,7.7
373,2004,88,5.8,177,Drama,5.3
374,1999,87,14.1,31,Comedy,5.3
375,1959,75,15.5,102,Comedy,7.5
376,2000,73,11.2,7,Documentary,7.6
377,1968,85,11.9,32,Comedy,5.4
378,1965,95,17.6,7,Action,7.8
379,1963,85,15.7,15,Comedy,7.5
380,2001,110,11.5,42,Comedy,4.1
381,2000,105,12.9,14,Action,4.1
382,1977,68,9.1,8,Comedy,1.7
383,1998,91,14.7,26,Comedy,8
384,1962,114,13.9,548,Drama,3
385,2001,125,8.3,7298,Action,2.8
386,1995,100,16.2,275,Action,7.4
387,1995,116,13.6,193,Drama,4.6
388,2003,27,13.8,5,Short,8
389,1965,86,12.1,73,Action,4.7
390,1969,95,11.3,9,Drama,5
391,1981,83,8.4,8,Action,4.2
392,1995,27,13.4,40,Comedy,7.8
393,1997,99,7.8,21,Drama,3.9
394,1981,122,10.4,41,Action,5.2
395,1980,92,6.5,13,Action,4.3
396,1953,80,16.3,8,Drama,3.5
397,1965,115,15,373,Action,4.9
398,1988,88,12,232,Drama,3.7
399,1969,93,15.4,7,Action,7.6
400,1934,77,14.1,17,Comedy,8.3
401,2000,83,13.5,12,Action,3.9
402,2005,101,15.8,27,Comedy,7.4
403,2005,70,12.5,7,Documentary,7.9
404,1935,86,14,7931,Drama,3.6
405,1959,93,13.1,223,Drama,3.8
406,1957,92,9.9,526,Action,4.7
407,1986,86,13.1,94,Action,2.6
408,2005,21,10.5,9,Short,7.2
409,2000,24,14.2,5,Short,8.5
410,2003,,13.1,6,Drama,8.2
411,1931,112,16.4,147,Action,7.9
412,1960,79,12.9,20,Drama,3.7
413,2004,126,11.2,30,Drama,4
414,1964,16,8.8,10,Documentary,7.7
415,1970,97,11.8,35,Comedy,8
416,1928,97,13.2,9,Drama,3.3
417,2003,76,17.9,11,Action,7.7
418,2003,123,10,156,Drama,4.3
419,1997,102,9.3,463,Documentary,8.2
420,2000,15,15.9,21,Drama,8
421,1998,26,9.7,12,Drama,8.3
422,1999,15,10.9,17,Short,8
423,1987,99,13.4,167,Comedy,3.9
424,1963,124,10.5,399,Comedy,7.8
425,1995,8,11.7,12,Animation,4.8
426,1974,90,13.4,6,Comedy,7.9
427,1971,104,10.4,251,Action,4.6
428,1999,97,11.9,65,Comedy,7.4
429,1965,105,8.9,8,Drama,2.9
430,2002,12,13.5,12,Short,7.2
431,1973,110,11.9,104,Comedy,7.7
432,2002,96,10.6,8609,Comedy,4
433,1982,143,15,16,Drama,3.5
434,1967,95,16,60,Romance,3.8
435,1962,106,9.6,126,Comedy,3.9
436,1986,80,14.2,15,Drama,4.7
437,1976,,15.1,34,Comedy,8.5
438,1967,90,8,6,Comedy,5.1
439,1941,100,15.9,20,Action,2.8
440,1939,52,8.5,10,Documentary,7.7
441,2000,11,16.4,250,Action,8
442,2004,116,12,6,Comedy,8.3
443,2000,90,19.1,25,Action,7.8
444,1933,89,14.6,1247,Drama,2.6
445,1933,6,8.3,11,Documentary,7.4
446,1974,83,10.2,18,Drama,5.4
447,1950,95,17.7,21,Comedy,8.2
448,1982,96,14.7,8742,Action,8.3
449,1967,81,6.5,5,Action,5.3
450,1964,88,10.2,38,Drama,3.4
451,1953,73,15.8,17,Drama,3.7
452,1941,104,18.8,395,Drama,5.2
453,1959,85,9.7,192,Action,3
454,1999,90,13.4,1088,Action,4.2
455,2002,97,12.5,71,Comedy,3.3
456,1955,84,16.5,49,Drama,5.8
457,1960,118,7.2,53,Drama,4.9
458,1968,105,16.4,457,Action,7.9
459,2002,96,10.1,7,Romance,3.3
460,1996,94,8.9,11,Action,3.2
461,1996,96,8.6,24,Action,4
462,1952,108,14.3,392,Drama,3.7
463,1938,85,17.2,22,Comedy,8.8
464,1957,81,15.3,24,Drama,4.3
465,1970,90,16.7,145,Action,7.9
466,1968,85,10.2,12,Comedy,7.3
467,1974,95,12.9,7,Action,3.5
468,1970,90,12.3,21,Action,4.6
469,1969,81,13.2,18,Action,3
470,1965,85,13.9,34,Action,4.1
471,1953,89,8.6,699,Action,4.9
472,2004,99,10.2,13497,Comedy,3
473,2004,95,8.5,22,Comedy,4
474,1963,75,10.8,15,Comedy,8.3
475,1982,87,10.4,7,Drama,5.4
476,2005,106,12.8,17,Documentary,7.7
477,2001,92,16.9,14,Comedy,8.3
478,2000,41,10.4,7,Action,8
479,1985,95,12.6,5,Drama,4.1
480,2001,92,11.7,6752,Action,8.6
481,1986,110,10.3,609,Action,3.4
482,1937,80,11.6,5,Drama,3.1
483,1998,100,8.5,6905,Drama,3.3
484,1963,150,11.4,700,Drama,4.2
485,1993,130,15.4,56,Action,3.3
486,1939,83,11.5,112,Comedy,7.9
487,2005,75,13.6,11,Drama,2.8
488,2004,90,11.5,691,Drama,5.4
489,1934,69,17.6,107,Comedy,8.1
490,1999,22,15.5,8,Short,8
491,2004,85,18.4,56,Drama,4
492,2001,100,10.2,9,Action,3.8
493,1958,85,10.7,6,Action,5.9
494,1939,62,12.8,11,Action,4.1
495,1964,103,14.4,367,Drama,3.3
496,1981,11,9,7,Animation,4.5
497,1936,89,14.5,21,Comedy,8.6
498,1982,43,9,13,Documentary,7.8
499,1996,100,8.1,54,Action,3.5
500,2001,90,12.2,7,Comedy,3.5
501,1968,5,6.7,5,Short,8.2
502,1969,98,10.6,5,Drama,2.6
503,1985,90,14.1,5,Action,4.8
504,1999,11,13,30,Comedy,8
505,2000,123,13.5,12064,Action,3.9
506,2002,94,13.2,33,Documentary,7.7
507,1964,100,14.3,646,Action,2.3
508,1989,90,13.5,19,Action,8.1
509,1983,85,18.5,7,Action,8
510,1941,4,10.2,35,Animation,3.7
511,1966,87,21.4,225,Drama,7.5
512,2003,90,3.1,6,Drama,4.2
513,2004,95,7.4,439,Comedy,4.5
514,2003,97,14.7,148,Comedy,7.5
515,1971,98,17.2,16,Comedy,8.4
516,1994,90,8.9,67,Action,5.1
517,2002,110,12.1,15,Action,8.1
518,1985,96,11.2,16,Drama,4.2
519,1994,95,10.5,176,Drama,3.7
520,1950,102,15.4,48,Drama,2.6
521,1972,93,14.4,8,Action,4.7
522,2003,15,13.4,6,Short,7.5
523,2004,100,10.6,147,Action,4.4
524,2000,17,9,28,Short,8.5
525,2000,85,14.3,75,Comedy,8.1
526,1985,4,11.6,10,Animation,5.2
527,1969,25,13.9,5,Documentary,8.3
528,1956,75,8.8,84,Action,5.9
529,1964,123,14.4,64,Drama,2.5
530,2003,72,13,42,Documentary,8.2
531,1958,88,14.7,1224,Action,7.6
532,1950,7,11,90,Animation,8.6
533,1997,94,16,2076,Comedy,8
534,2002,110,13.8,17900,Drama,2.9
535,1986,115,11.2,642,Action,4.7
536,1994,105,16.4,747,Drama,6.1
537,2002,111,12.8,5503,Comedy,7.7
538,1981,77,15,32,Comedy,8.7
539,1993,84,11.4,14,Action,3.7
540,1969,107,12.7,57,Drama,3
541,2003,9,7.8,15,Comedy,7.2
542,1963,113,12.8,35,Drama,4.8
543,1979,82,10,30,Action,3.4
544,1994,110,11.8,13,Action,4.8
545,2002,124,10.8,404,Comedy,8.6
546,1987,100,9.8,1172,Drama,4
547,1989,95,14,284,Action,4.5
548,2003,119,7.4,8,Action,2.5
549,1994,12,13,12,Documentary,8.3
550,1999,123,13.4,18541,Action,3.7
551,1997,7,7.7,11,Short,8
552,2002,100,13.4,9,Romance,4.5
553,2004,71,10.2,464,Drama,3.3
554,2003,120,13.5,100,Drama,4.9
555,1961,120,7.7,39,Drama,4.5
556,1977,101,17.6,56,Drama,3.4
557,1964,3,16.2,6,Short,7.6
558,2005,14,11.5,10,Short,7.9
559,1956,6,14.5,13,Animation,7.8
560,1985,100,9.3,17,Action,4.8
561,2001,75,9.1,5,Documentary,7.5
562,2001,72,12.6,8,Documentary,8.3
563,1990,29,9.4,8,Documentary,8.2
564,1959,90,12.2,6,Comedy,8.4
565,1951,88,13.9,7,Comedy,7.9
566,1977,101,9.7,14,Comedy,4
567,1992,100,9.1,32,Action,4
568,1975,93,15.4,56,Comedy,7.3
569,1998,90,9.2,12,Action,4.1
570,1991,93,8.4,82,Action,3.3
571,1997,90,14.6,59,Comedy,7.6
572,1989,100,12.2,495,Action,5.7
573,1991,93,11.9,162,Action,2.9
574,1997,42,10.6,17,Comedy,7.8
575,2002,79,8.7,53,Drama,5
576,1953,83,10.8,102,Drama,4.5
577,1998,13,9.8,7,Drama,7.7
578,1969,108,12.9,62,Action,5
579,1997,106,18.8,78,Action,8.5
580,1967,,13.2,12,Comedy,4.3
581,2002,103,14.3,42,Action,4.4
582,2004,13,9.8,11,Short,8.6
583,2000,10,8.9,27,Comedy,8.3
584,1998,136,13,18,Documentary,7
585,2002,60,12.4,11,Documentary,8.2
586,1996,17,14.9,26,Drama,7.6
587,2004,104,12.1,17,Comedy,8.8
588,1965,,11.8,7,Action,3
589,1991,144,14.3,11,Drama,5.7
590,1980,90,6.2,5,Action,4
591,1991,94,14.3,986,Drama,4.1
592,1932,8,11.1,20,Animation,8.2
593,1953,14,9.4,6,Drama,8.5
594,1989,161,11.1,6,Comedy,3.2
595,1961,104,11.5,21,Comedy,7.9
596,2002,98,9,17,Comedy,2.5
597,1967,99,12.8,52,Drama,3.5
598,1997,92,17.3,49,Action,8.1
599,1969,88,15.3,43,Action,3.1
600,1961,102,14.5,8,Drama,4.8
601,1986,115,16.4,7,Documentary,8.2
602,2000,87,12.4,10,Comedy,8
603,1999,90,9.5,34,Drama,3.7
604,1980,90,7.7,14,Comedy,3.1
605,1998,98,8,93,Drama,4.2
606,1975,,12.8,27,Comedy,3.1
607,2002,96,13.1,296,Comedy,8.6
608,2000,89,17.5,25,Comedy,8.5
609,1988,93,10.1,14,Drama,4.9
610,1996,94,13.5,49,Comedy,8.5
611,1997,95,13.8,26,Comedy,7.8
612,1963,86,8.5,8,Action,3.6
613,1996,87,16,16,Action,8.1
614,1984,102,13.8,18,Comedy,8.1
615,1977,104,11.1,15,Drama,3.5
616,1972,,13.2,137,Action,4.4
617,2002,90,8.7,53,Romance,3.5
618,1997,90,15.1,36,Drama,2.6
619,1939,17,13,89,Comedy,8.3
620,1942,68,14.8,81,Comedy,7.9
621,1966,6,8.8,29,Animation,8.7
622,1938,8,13.1,11,Animation,8.4
623,1948,7,11.2,52,Animation,7.6
624,1966,6,14.2,26,Animation,8.1
625,1990,114,8.7,22,Action,3.8
626,2003,115,11.7,6,Comedy,7.8
627,1966,,13.5,5,Action,3.7
628,1988,98,17.5,27,Comedy,8.5
629,1985,71,10.3,60,Documentary,8.5
630,2002,90,9.7,27,Comedy,3.3
631,1995,65,11.7,9,Documentary,7.6
632,2003,13,15.1,9,Short,7.6
633,1994,98,13.8,207,Action,5.7
634,1988,80,10.8,9,Action,4.5
635,1918,5,15,23,Animation,8.3
636,1970,85,13.5,43,Documentary,8.3
637,2004,86,13,79,Comedy,7.3
638,2001,131,16.9,5,Action,8.7
639,1977,96,12.1,613,Documentary,8
640,2001,83,12,90,Documentary,7.7
641,1978,85,14.5,5,Comedy,8.2
642,2001,5,9.4,17,Animation,5.3
643,1975,20,13.8,37,Documentary,8
644,1999,105,5.9,88,Drama,3
645,1980,95,14.4,159,Action,4
646,1998,60,10.2,19,Documentary,8.6
647,2002,123,10.3,335,Drama,5.2
648,2004,102,9.7,14651,Action,3.1
649,1999,178,15.1,73,Drama,2.8
650,1973,148,13.3,10,Romance,3.7
651,1993,155,13.5,5,Comedy,7
652,1989,75,10.6,22,Action,3.8
653,1968,175,11.4,15,Romance,4.7
654,1948,138,12.7,31,Romance,4.1
655,1953,150,13.5,25,Drama,5.3
656,1986,164,13.2,46,Action,6.7
657,1980,144,11.2,31,Action,3.9
658,2004,92,19.8,219,Comedy,7.8
659,2001,150,12.3,12,Comedy,7.9
660,1952,101,13.3,13,Romance,5
661,2004,149,11,20,Action,3.4
662,1975,133,9.1,35,Drama,3.4
663,1993,170,18.9,22,Comedy,8.1
664,2002,165,10.8,134,Comedy,4.2
665,1986,144,13.1,532,Drama,4.2
666,1999,26,11.2,5,Drama,8.2
667,1974,153,10.1,20,Drama,5.7
668,1992,173,15,5,Drama,5.2
669,1994,55,10.5,26,Drama,4.3
670,1954,146,13.6,31,Romance,4.1
671,1984,74,11.9,5,Drama,4.3
672,1999,96,14.2,16,Drama,4.1
673,1975,99,12.4,23,Drama,1.6
674,1952,95,15.8,33,Action,3
675,2001,160,13.3,11,Action,7.9
676,1990,152,11,18,Drama,5.8
677,1968,146,11.8,11,Drama,3.7
678,1994,155,12,16,Action,0.8
